Code	EconomicType	FgTitle	StateTitle	LgTitle	ACCOUNT TYPE	LEVEL	TYPE
12020709	Revenue	EARNINGS FROM TOURISM/CULTURE/ARTS CENTRES	EARNINGS FROM TOURISM/CULTURE/ARTS CENTRES	EARNINGS FROM TOURISM/CULTURE/ARTS CENTRES	REVENUE	5	DETAIL
12020710	Revenue	EARNINGS FROM HIRE OF AIRCRAFT	EARNINGS FROM HIRE OF AIRCRAFT	EARNINGS FROM HIRE OF AIRCRAFT	REVENUE	5	DETAIL
12020711	Revenue	EARNINGS FROM COMMERCIAL ACTIVITIES	EARNINGS FROM COMMERCIAL ACTIVITIES	EARNINGS FROM COMMERCIAL ACTIVITIES	REVENUE	5	DETAIL
12020712	Revenue	HIRE OF ACADEMIC GOWN/BOOK OF PRECEEDINGS/OTHERS	HIRE OF ACADEMIC GOWN/BOOK OF PRECEEDINGS/OTHERS	HIRE OF ACADEMIC GOWN/BOOK OF PRECEEDINGS/OTHERS			
12020713	Revenue	EARNINGS FROM LIBRARY SERVICES	EARNINGS FROM LIBRARY SERVICES	EARNINGS FROM LIBRARY SERVICES			
12020714	Revenue	EARNINGS FROM ICT SERVICES	EARNINGS FROM ICT SERVICES	EARNINGS FROM ICT SERVICES			
12020715	Revenue	MAINTENANCE/REPAIRS FEES	MAINTENANCE/REPAIRS FEES	MAINTENANCE/REPAIRS FEES			
12020716	Revenue	MARITIME LABOUR SERVICES	N/A	N/A			
12020717	Revenue	MARINE ENVIROMENT MANAGEMENT	N/A	N/A			
12020718	Revenue	CABOTAGE SERVICES	N/A	N/A			
12020719	Revenue	MARITIME SAFETY & SEAFARERS CERTIFICATION STANDARD	N/A	N/A			
12020720	Revenue	EARNINGS FROM GUEST HOUSES	EARNINGS FROM GUEST HOUSES	EARNINGS FROM GUEST HOUSES			
120208	Revenue	RENT ON GOVERNMENT BUILDINGS - GENERAL	RENT ON GOVERNMENT BUILDINGS - GENERAL	RENT ON GOVERNMENT BUILDINGS - GENERAL	REVENUE	4	GENERAL
12020801	Revenue	RENT ON FEDERAL GOVT.QUARTERS	RENT ON GOVT.QUARTERS	RENT ON GOVT.QUARTERS	REVENUE	5	DETAIL
12020802	Revenue	RENT ON FEDERAL GOVT.OFFICES	RENT ON  GOVT.OFFICES	RENT ON  GOVT.OFFICES	REVENUE	5	DETAIL
12020803	Revenue	RENT ON FEDERAL GOVT BUILDINGS	RENT ON GOVT BUILDINGS	RENT ON GOVT BUILDINGS	REVENUE	5	DETAIL
12020804	Revenue	RENT ON CONFERENCE CENTRES	RENT ON CONFERENCE CENTRES	RENT ON CONFERENCE CENTRES	REVENUE	5	DETAIL
12020805	Revenue	RENT ON BUILDING AT  AERODROMES	RENT ON BUILDING AT  AERODROMES	RENT ON BUILDING AT  AERODROMES	REVENUE	5	DETAIL
12020806	Revenue	RECOVERY OF HOUSING SCHEME (MORTGAGE)	NA	NA			
120209	Revenue	RENT ON LAND & OTHERS - GENERAL	RENT ON LAND & OTHERS - GENERAL	RENT ON LAND & OTHERS - GENERAL	REVENUE	4	GENERAL
12020901	Revenue	RENT ON FEDERAL GOVT. LAND	RENT ON GOVT. LAND	RENT ON GOVT. LAND	REVENUE	5	DETAIL
12020902	Revenue	RENT ON OIL PLOT  & AERODROMES	RENT ON OIL PLOT  & AERODROMES	N/A	REVENUE	5	DETAIL
12020903	Revenue	RENTS & PREMIUM ON THE ALLOCATION OF LAND	RENTS & PREMIUM ON THE ALLOCATION OF LAND	RENTS & PREMIUM ON THE ALLOCATION OF LAND	REVENUE	5	DETAIL
12020904	Revenue	RENTS OF PLOTS & SITES SERVICES PROGRAMME	RENTS OF PLOTS & SITES SERVICES PROGRAMME	RENTS OF PLOTS & SITES SERVICES PROGRAMME	REVENUE	5	DETAIL
12020905	Revenue	LEASE RENTAL	LEASE RENTAL	LEASE RENTAL	REVENUE	5	DETAIL
12020906	Revenue	RENTS ON GOVT. PROPERTIES	RENTS ON GOVT. PROPERTIES	RENTS ON GOVT. PROPERTIES	REVENUE	5	DETAIL
12020907	Revenue	RENT ON INDUSTRIAL ESTATE	RENT ON INDUSTRIAL ESTATE	RENT ON INDUSTRIAL ESTATE			
120210	Revenue	REPAYMENTS - GENERAL	REPAYMENTS - GENERAL	REPAYMENTS - GENERAL	REVENUE	4	GENERAL
12021001	Revenue	N/A	N/A	N/A			
12021002	Revenue	N/A	N/A		REVENUE	5	DETAIL
12021003	Revenue	N/A	N/A		REVENUE	5	DETAIL
12021004	Revenue	N/A	N/A		REVENUE	5	DETAIL
12021005	Revenue	N/A	N/A		REVENUE	5	DETAIL
12021006	Revenue	N/A	N/A				
120211	Revenue	INVESTMENT INCOME	INVESTMENT INCOME	INVESTMENT INCOME	REVENUE	4	GENERAL
12021101	Revenue	OPERATING SURPLUS	OPERATING SURPLUS	OPERATING SURPLUS	REVENUE	5	DETAIL
12021102	Revenue	DIVIDEND RECEIVED	DIVIDEND RECEIVED	DIVIDEND RECEIVED	REVENUE	5	DETAIL
12021103	Revenue	OTHER INVESTMENT INCOME	OTHER INVESTMENT INCOME	OTHER INVESTMENT INCOME	REVENUE	5	DETAIL
120212	Revenue	INTEREST EARNED	INTEREST EARNED	INTEREST EARNED	REVENUE	4	GENERAL
12021201	Revenue	MOTOR VEHICLE ADVANCES (INTEREST)	MOTOR VEHICLE ADVANCES	MOTOR VEHICLE ADVANCES	REVENUE	5	DETAIL
12021202	Revenue	BICYCLE ADVANCES (INTEREST)	BICYCLE ADVANCES (INTEREST)	BICYCLE ADVANCES (INTEREST)	REVENUE	5	DETAIL
12021203	Revenue	REFURBISHING LOAN (INTEREST)	REFURBISHING LOAN	REFURBISHING LOAN	REVENUE	5	DETAIL
12021204	Revenue	FURNITURE LOAN (INTEREST)	FURNITURE LOAN	FURNITURE LOAN	REVENUE	5	DETAIL
12021205	Revenue	INTEREST ON HOUSING LOAN	INTEREST ON HOUSING LOAN	INTEREST ON HOUSING LOAN	REVENUE	5	DETAIL
12021206	Revenue	INTEREST ON LOANS TO STATES	INTEREST ON LOANS TO STATES	INTEREST ON LOANS TO STATES	REVENUE	5	DETAIL
12021207	Revenue	INTEREST ON LOANS TO LGAs	INTEREST ON LOANS TO LGAs	INTEREST ON LOANS TO LGAs	REVENUE	5	DETAIL
12021208	Revenue	INTEREST ON LOANS TO GOVERNMENT OWNED COMPANIES	INTEREST ON LOANS TO GOVERNMENT OWNED COMPANIES	INTEREST ON LOANS TO GOVERNMENT OWNED COMPANIES	REVENUE	5	DETAIL
12021209	Revenue	INTEREST ON DEBENTURE LOANS	INTEREST ON DEBENTURE LOANS	INTEREST ON DEBENTURE LOANS	REVENUE	5	DETAIL
12021210	Revenue	BANK INTEREST	BANK INTEREST	BANK INTEREST	REVENUE	5	DETAIL
12021211	Revenue			REVENUE	5	DETAIL
12021212	Revenue	INTEREST ON TREASURY BILLS & FIXED DEPOSITS	INTEREST ON TREASURY BILLS & FIXED DEPOSITS	INTEREST ON TREASURY BILLS & FIXED DEPOSITS			
120213	Revenue	RE-IMBURSEMENT GENERAL	RE-IMBURSEMENT GENERAL	RE-IMBURSEMENT GENERAL	REVENUE	4	GENERAL
12021301	Revenue	POLICE SECONDMENT FEES	N/A	N/A	REVENUE	5	GENERAL
12021302	Revenue	AUDIT FEES	AUDIT FEES	N/A	REVENUE	5	GENERAL
13	Revenue	AID AND GRANTS	AID AND GRANTS	AID AND GRANTS	REVENUE	2	GENERAL
1301	Revenue	AID AND GRANTS	AID	AID	REVENUE	3	GENERAL
130101	Revenue	DOMESTIC AID	DOMESTIC AIDS	DOMESTIC AIDS	REVENUE	4	GENERAL
13010101	Revenue	DOMESTIC AID	DOMESTIC AID	DOMESTIC AID	REVENUE	5	DETAIL
13010102	Revenue			REVENUE	5	DETAIL
130102	Revenue	FOREIGN AID	FOREIGN AIDS	FOREIGN AIDS	REVENUE	4	GENERAL
13010201	Revenue	FOREIGN AID	FOREIGN AID	FOREIGN AID	REVENUE	5	DETAIL
13010202	Revenue			REVENUE	5	DETAIL
130203	Revenue	DOMESTIC GRANTS	DOMESTIC GRANTS	DOMESTIC GRANTS	REVENUE	4	GENERAL
13020301	Revenue	DOMESTIC GRANTS	DOMESTIC GRANTS	DOMESTIC GRANTS	REVENUE	5	DETAIL
13020302	Revenue			REVENUE	5	DETAIL
13020303	Revenue	ENDOWMENT INCOME	ENDOWMENT INCOME	ENDOWMENT INCOME			
130204	Revenue	FOREIGN GRANTS	FOREIGN GRANTS	FOREIGN GRANTS	REVENUE	4	GENERAL
13020401	Revenue	FOREIGN GRANTS	FOREIGN GRANTS	FOREIGN GRANTS	REVENUE	5	DETAIL
13020402	Revenue			REVENUE	5	DETAIL
	Revenue					
14	Revenue	CAPITAL DEVELOPMENT FUND (CDF) RECEIPTS	CAPITAL DEVELOPMENT FUND (CDF) RECEIPTS	CAPITAL DEVELOPMENT FUND (CDF) RECEIPTS	REVENUE	2	GENERAL
1401	Revenue	TRANSFER FROM CONSOLIDATED REVENUE FUND TO CDF	TRANSFER FROM CONSOLIDATED REVENUE FUND TO CDF	TRANSFER FROM CONSOLIDATED REVENUE FUND TO CDF	REVENUE	3	GENERAL
140201	Revenue	OTHER CAPITAL RECEIPTS	OTHER CAPITAL RECEIPTS	OTHER CAPITAL RECEIPTS	REVENUE	4	DETAIL
14010101	Revenue			REVENUE	5	DETAIL
1402	Revenue	OTHER CAPITAL RECEIPTS	OTHER CAPITAL RECEIPTS	OTHER CAPITAL RECEIPTS	REVENUE	3	GENERAL
140202	Revenue	OTHER CAPITAL RECEIPTS	OTHER CAPITAL RECEIPTS	OTHER CAPITAL RECEIPTS	REVENUE	4	GENERAL
14020201	Revenue	OTHER CAPITAL RECEIPTS TO CDF	OTHER CAPITAL RECEIPTS TO CDF	OTHER CAPITAL RECEIPTS TO CDF	REVENUE	5	DETAIL
14020202	Revenue			REVENUE	5	DETAIL
1403	Revenue			REVENUE	3	GENERAL
140301	Revenue			REVENUE	4	GENERAL
14030101	Revenue			REVENUE	5	DETAIL
14030102	Revenue			REVENUE	5	DETAIL
14030103	Revenue			REVENUE	5	DETAIL
140302	Revenue			REVENUE	4	GENERAL
14030201	Revenue			REVENUE	5	DETAIL
14030202	Revenue			REVENUE	5	DETAIL
14030203	Revenue			REVENUE	5	DETAIL
1404	Revenue	DEBT FORGIVENESS	DEBT FORGIVENESS	DEBT FORGIVENESS	REVENUE	3	GENERAL
140401	Revenue	FOREIGN DEBT FORGIVENESS	FOREIGN DEBT FORGIVENESS	FOREIGN DEBT FORGIVENESS	REVENUE	4	GENERAL
14040101	Revenue	FOREIGN DEBT FORGIVENESS	FOREIGN DEBT FORGIVENESS	FOREIGN DEBT FORGIVENESS	REVENUE	5	DETAIL
140402	Revenue	DOMESTIC DEBT FORGIVENESS	DOMESTIC DEBT FORGIVENESS	DOMESTIC DEBT FORGIVENESS	REVENUE	4	GENERAL
14040201	Revenue	DOMESTIC DEBT FORGIVENESS	DOMESTIC DEBT FORGIVENESS	DOMESTIC DEBT FORGIVENESS	REVENUE	5	DETAIL
1405	Revenue	GAIN ON DISPOSAL OF ASSET	GAIN ON DISPOSAL OF ASSET	GAIN ON DISPOSAL OF ASSET	REVENUE	3	GENERAL
140501	Revenue	GAIN ON DISPOSAL OF ASSET - PPE	GAIN ON DISPOSAL OF ASSET - PPE	GAIN ON DISPOSAL OF ASSET - PPE	REVENUE	4	GENERAL
14050101	Revenue	GAIN ON DISPOSAL OF ASSET - PPE	GAIN ON DISPOSAL OF ASSET - PPE	GAIN ON DISPOSAL OF ASSET - PPE	REVENUE	5	DETAIL
140502	Revenue	GAIN ON DISPOSAL OF ASSET - INVESTMENT PROPERTY	GAIN ON DISPOSAL OF ASSET - INVESTMENT PROPERTY	GAIN ON DISPOSAL OF ASSET - INVESTMENT PROPERTY	REVENUE	4	GENERAL
14050201	Revenue	GAIN ON DISPOSAL OF ASSET - INVESTMENT PROPERTY	GAIN ON DISPOSAL OF ASSET - INVESTMENT PROPERTY	GAIN ON DISPOSAL OF ASSET - INVESTMENT PROPERTY	REVENUE	5	DETAIL
140503	Revenue	GAIN ON DISPOSAL OF ASSET - INTANGIBLE	GAIN ON DISPOSAL OF ASSET - INTANGIBLE	GAIN ON DISPOSAL OF ASSET - INTANGIBLE			
14050301	Revenue	GAIN ON DISPOSAL OF ASSET -INTANGIBLE	GAIN ON DISPOSAL OF ASSET -INTANGIBLE	GAIN ON DISPOSAL OF ASSET -INTANGIBLE			
1406	Revenue	MINORITY INTEREST SHARE OF SURPLUS	MINORITY INTEREST SHARE OF SURPLUS	MINORITY INTEREST SHARE OF SURPLUS	REVENUE	3	GENERAL
140601	Revenue	MINORITY INTEREST SHARE OF SURPLUS	MINORITY INTEREST SHARE OF SURPLUS	MINORITY INTEREST SHARE OF SURPLUS	REVENUE	4	GENERAL
14060101	Revenue	MINORITY INTEREST SHARE OF SURPLUS	MINORITY INTEREST SHARE OF SURPLUS	MINORITY INTEREST SHARE OF SURPLUS	REVENUE	5	DETAIL
1407	Revenue	EXTRAORDINARY ITEMS	EXTRAORDINARY ITEMS	EXTRAORDINARY ITEMS	REVENUE	3	GENERAL
140701	Revenue	EXTRAORDINARY ITEMS	EXTRAORDINARY ITEMS	EXTRAORDINARY ITEMS	REVENUE	4	GENERAL
14070101	Revenue	EXTRAORDINARY ITEMS	EXTRAORDINARY ITEMS	EXTRAORDINARY ITEMS	REVENUE	5	DETAIL
14070102	Revenue	UNSPECIFIED REVENUE	UNSPECIFIED REVENUE	UNSPECIFIED REVENUE			
14070103	Revenue	RECOVERIES (STOLEN & OTHER FUNDS)	RECOVERIES (STOLEN & OTHER FUNDS)	RECOVERIES (STOLEN & OTHER FUNDS)			
1408	Revenue	GAIN ON  SWAPPED ASSETS	GAIN ON  SWAPPED ASSETS	GAIN ON  SWAPPED ASSETS			
140801	Revenue	GAIN ON  SWAPPED ASSETS  - PPE	GAIN ON  SWAPPED ASSETS  - PPE	GAIN ON  SWAPPED ASSETS  - PPE			
14080101	Revenue	GAIN ON  SWAPPED ASSETS  - PPE	GAIN ON  SWAPPED ASSETS  - PPE	GAIN ON  SWAPPED ASSETS  - PPE			
140802	Revenue	GAIN ON  SWAPPED ASSETS  - INVESTMENT PROPERTY	GAIN ON  SWAPPED ASSETS  - INVESTMENT PROPERTY	GAIN ON  SWAPPED ASSETS  - INVESTMENT PROPERTY			
14080201	Revenue	GAIN ON  SWAPPED ASSETS  -  INVESTMENT PROPERTY	GAIN ON  SWAPPED ASSETS  -  INVESTMENT PROPERTY	GAIN ON  SWAPPED ASSETS  -  INVESTMENT PROPERTY			
140803	Revenue	GAIN ON  SWAPPED ASSETS  - INTANGIBLE	GAIN ON  SWAPPED ASSETS  - INTANGIBLE	GAIN ON  SWAPPED ASSETS  - INTANGIBLE			
14080301	Revenue	GAIN ON  SWAPPED ASSETS  - INTANGIBLE	GAIN ON  SWAPPED ASSETS  - INTANGIBLE	GAIN ON  SWAPPED ASSETS  - INTANGIBLE			
140804	Revenue	GAIN ON  SWAPPED ASSETS  - INVENTORY	GAIN ON  SWAPPED ASSETS  - INVENTORY	GAIN ON  SWAPPED ASSETS  - INVENTORY			
14080401	Revenue	GAIN ON  SWAPPED ASSETS  - INVENTORY	GAIN ON  SWAPPED ASSETS  - INVENTORY	GAIN ON  SWAPPED ASSETS  - INVENTORY			
1409	Revenue	GAIN ON  SWAPPED SERVICES	GAIN ON  SWAPPED SERVICES	GAIN ON  SWAPPED SERVICES			
140901	Revenue	GAIN ON  SWAPPED SERVICES	GAIN ON  SWAPPED SERVICES	GAIN ON  SWAPPED SERVICES			
14090101	Revenue	GAIN ON  SWAPPED SERVICES RENDERED	GAIN ON  SWAPPED SERVICES RENDERED	GAIN ON  SWAPPED SERVICES RENDERED			
1410	Revenue	GAIN ON  FOREIGN EXCHANGE	GAIN ON  FOREIGN EXCHANGE	GAIN ON  FOREIGN EXCHANGE			
141001	Revenue	GAIN ON  FOREIGN EXCHANGE	GAIN ON  FOREIGN EXCHANGE	GAIN ON  FOREIGN EXCHANGE			
14100101	Revenue	GAIN ON  FOREIGN EXCHANGE	GAIN ON  FOREIGN EXCHANGE	GAIN ON  FOREIGN EXCHANGE			
NOTE	Revenue	EFFECTIVE 1ST JANUARY, 2016, PSEs ARE TO REPORT REVENUE COLLECTED AND PAID INTO THE CRF AND RETAINED IGR IN THE STATEMENT OF FINANCIAL PERFORMANCE. THOSE PSEs ARE FURTHER TO DISCLOSE BY WAY OF NOTE REVENUE COLLECTED ON BEHALF OF THE FEDERAL/STATE/LOCAL GOVERNMENT AND REMITTED TO THE CRF. THE WHOLE OF GOVERNMENT ACCOUNT SHALL RECOGNIZE AS REVENUE IN THE STATEMENT OF FINANCIAL PERFORMANCE BOTH RETAINED IGR BY PSEs AND REVENUE REMITTED INTO THE CRF.					
	Revenue					
	Revenue					
15	Revenue	TRANSFERS-RECEIPT	TRANSFERS	TRANSFERS			
1501	Revenue	TRANSFER TO FUND RECURRENT EXPENDITURE-RECEIPT	TRANSFER TO FUND RECURRENT EXPENDITURE	TRANSFER TO FUND RECURRENT EXPENDITURE			
150101	Revenue	TRANSFER TO FUND RECURRENT EXPENDITURE-RECEIPT	TRANSFER TO FUND RECURRENT EXPENDITURE	TRANSFER TO FUND RECURRENT EXPENDITURE			
15010101	Revenue	RECEIPT FROM CRF TO FUND MDA RECURRENT EXPENDITURE	RECEIPT FROM CRF TO FUND MDA RECURRENT EXPENDITURE	RECEIPT FROM CRF TO FUND MDA RECURRENT EXPENDITURE			
15010102	Revenue	RECEIPT FROM OTHER AGENCY  TO FUND RECURRENT EXPENDITURE	RECEIPT FROM OTHER AGENCY  TO FUND RECURRENT EXPENDITURE	RECEIPT FROM OTHER AGENCY  TO FUND RECURRENT EXPENDITURE			
15010103	Revenue	RECEIPT OF CRF REVENUE FROM PSEs	RECEIPT OF CRF REVENUE FROM PSEs	RECEIPT OF CRF REVENUE FROM PSEs			
21	Expenditures	PERSONNEL COST	PERSONNEL COST	PERSONNEL COST	EXPENDITURE	2	GENERAL
2101	Expenditures	SALARIES AND WAGES	SALARY	SALARY	EXPENDITURE	3	GENERAL
210101	Expenditures	SALARIES AND WAGES	SALARIES AND WAGES	SALARIES AND WAGES	EXPENDITURE	4	GENERAL
21010101	Expenditures	SALARY	SALARY	SALARY	EXPENDITURE	5	DETAIL
21010102	Expenditures	OVER TIME PAYMENTS	OVER TIME PAYMENTS	OVER TIME PAYMENTS	EXPENDITURE	5	DETAIL
21010103	Expenditures	CONSOLIDATED REVENUE FUND CHARGE- SALARIES	CONSOLIDATED REVENUE FUND CHARGE- SALARIES	CONSOLIDATED REVENUE FUND CHARGE- SALARIES	EXPENDITURE	5	DETAIL
2102	Expenditures	ALLOWANCES AND SOCIAL CONTRIBUTION	ALLOWANCES AND SOCIAL CONTRIBUTION	ALLOWANCES AND SOCIAL CONTRIBUTION	EXPENDITURE	3	GENERAL
210201	Expenditures	ALLOWANCES	ALLOWANCES	ALLOWANCES	EXPENDITURE	4	GENERAL
21020101	Expenditures	NON REGULAR ALLOWANCES	NON REGULAR ALLOWANCES	NON REGULAR ALLOWANCES	EXPENDITURE	5	DETAIL
21020102	Expenditures	FOREIGN SERVICE	N/A	N/A	EXPENDITURE	5	DETAIL
210202	Expenditures	SOCIAL CONTRIBUTIONS	SOCIAL CONTRIBUTIONS	SOCIAL CONTRIBUTIONS	EXPENDITURE	4	GENERAL
21020201	Expenditures	NHIS FGN CONTRIBUTION	NHIS CONTRIBUTION	NHIS CONTRIBUTION	EXPENDITURE	5	DETAIL
21020202	Expenditures	CONTRIBUTORY PENSION (EMPLOYERS )	CONTRIBUTORY PENSION (EMPLOYERS )	CONTRIBUTORY PENSION (EMPLOYERS )	EXPENDITURE	5	DETAIL
21020203	Expenditures	GROUP LIFE INSURANCE	GROUP LIFE INSURANCE	GROUP LIFE INSURANCE	EXPENDITURE	5	DETAIL
21020204	Expenditures	EMPLOYEES COMPENSATION FUND	EMPLOYEES COMPENSATION FUND	EMPLOYEES COMPENSATION FUND	EXPENDITURE	5	DETAIL
21020205	Expenditures	HOUSING FUND CONTRIBUTION	HOUSING FUND CONTRIBUTION	HOUSING FUND CONTRIBUTION	EXPENDITURE	5	DETAIL
2103	Expenditures	SOCIAL BENEFITS	SOCIAL BENEFITS	SOCIAL BENEFITS			
210301	Expenditures	SOCIAL BENEFITS	SOCIAL BENEFITS	SOCIAL BENEFITS			
21030101	Expenditures	GRATUITY	GRATUITY	GRATUITY			
21030102	Expenditures	PENSION	PENSION	PENSION			
21030103	Expenditures	DEATH BENEFITS	DEATH BENEFITS	DEATH BENEFITS			
22	Expenditures	OTHER RECURRENT COSTS	OTHER RECURRENT COSTS	OTHER RECURRENT COSTS			
2202	Expenditures	OVERHEAD COST	OVERHEAD COST	OVERHEAD COST	EXPENDITURE	3	GENERAL
220201	Expenditures	TRAVEL& TRANSPORT - GENERAL	TRAVEL& TRANSPORT - GENERAL	TRAVEL& TRANSPORT - GENERAL	EXPENDITURE	4	GENERAL
22020101	Expenditures	LOCAL TRAVEL & TRANSPORT: TRAINING	LOCAL TRAVEL & TRANSPORT: TRAINING	LOCAL TRAVEL & TRANSPORT: TRAINING	EXPENDITURE	5	DETAIL
22020102	Expenditures	LOCAL TRAVEL & TRANSPORT: OTHERS	LOCAL TRAVEL & TRANSPORT: OTHERS	LOCAL TRAVEL & TRANSPORT: OTHERS	EXPENDITURE	5	DETAIL
22020103	Expenditures	INTERNATIONAL TRAVEL & TRANSPORT: TRAINING	INTERNATIONAL TRAVEL & TRANSPORT: TRAINING	INTERNATIONAL TRAVEL & TRANSPORT: TRAINING	EXPENDITURE	5	DETAIL
22020104	Expenditures	INTERNATIONAL TRAVEL & TRANSPORT: OTHERS	INTERNATIONAL TRAVEL & TRANSPORT: OTHERS	INTERNATIONAL TRAVEL & TRANSPORT: OTHERS	EXPENDITURE	5	DETAIL
22020105	Expenditures					
22020106	Expenditures					
22020107	Expenditures					
220202	Expenditures	UTILITIES - GENERAL	UTILITIES - GENERAL	UTILITIES - GENERAL	EXPENDITURE	4	GENERAL
22020201	Expenditures	ELECTRICITY CHARGES	ELECTRICITY CHARGES	ELECTRICITY CHARGES	EXPENDITURE	5	DETAIL
22020202	Expenditures	TELEPHONE CHARGES	TELEPHONE CHARGES	TELEPHONE CHARGES	EXPENDITURE	5	DETAIL
22020203	Expenditures	INTERNET ACCESS CHARGES	INTERNET ACCESS CHARGES	INTERNET ACCESS CHARGES	EXPENDITURE	5	DETAIL
22020204	Expenditures	SATELLITE BROADCASTING ACCESS CHARGES	SATELLITE BROADCASTING ACCESS CHARGES	SATELLITE BROADCASTING ACCESS CHARGES	EXPENDITURE	5	DETAIL
22020205	Expenditures	WATER RATES	WATER RATES	WATER RATES	EXPENDITURE	5	DETAIL
22020206	Expenditures	SEWAGE CHARGES	SEWAGE CHARGES	SEWAGE CHARGES	EXPENDITURE	5	DETAIL
22020207	Expenditures	LEASED COMMUNICATION LINES(S)	LEASED COMMUNICATION LINES(S)	LEASED COMMUNICATION LINES(S)	EXPENDITURE	5	DETAIL
22020208	Expenditures	MULTI YEAR TARIFF ORDER	MULTI YEAR TARIFF ORDER	MULTI YEAR TARIFF ORDER			
22020209	Expenditures	INTERACTIVE LEARNING NETWORK	INTERACTIVE LEARNING NETWORK	INTERACTIVE LEARNING NETWORK			
22020210	Expenditures	SOFTWARE CHARGES/ LICENCE RENEWAL	SOFTWARE CHARGES/ LICENCE RENEWAL	SOFTWARE CHARGES/ LICENCE RENEWAL	EXPENDITURE	5	DETAIL
220203	Expenditures	MATERIALS & SUPPLIES - GENERAL	MATERIALS & SUPPLIES - GENERAL	MATERIALS & SUPPLIES - GENERAL	EXPENDITURE	4	GENERAL
22020301	Expenditures	OFFICE STATIONERIES/COMPUTER CONSUMABLES	OFFICE STATIONERIES/COMPUTER CONSUMABLES	OFFICE STATIONERIES/COMPUTER CONSUMABLES	EXPENDITURE	5	DETAIL
22020302	Expenditures	BOOKS	BOOKS	BOOKS	EXPENDITURE	5	DETAIL
22020303	Expenditures	NEWSPAPERS	NEWSPAPERS	NEWSPAPERS	EXPENDITURE	5	DETAIL
22020304	Expenditures	MAGAZINES & PERIODICALS	MAGAZINES & PERIODICALS	MAGAZINES & PERIODICALS	EXPENDITURE	5	DETAIL
22020305	Expenditures	PRINTING OF NON SECURITY DOCUMENTS	PRINTING OF NON SECURITY DOCUMENTS	PRINTING OF NON SECURITY DOCUMENTS	EXPENDITURE	5	DETAIL
22020306	Expenditures	PRINTING OF SECURITY DOCUMENTS	PRINTING OF SECURITY DOCUMENTS	PRINTING OF SECURITY DOCUMENTS	EXPENDITURE	5	DETAIL
22020307	Expenditures	DRUGS & MEDICAL SUPPLIES	DRUGS/LABORATORY/MEDICAL SUPPLIES	DRUGS/LABORATORY/MEDICAL SUPPLIES	EXPENDITURE	5	DETAIL
22020308	Expenditures	FIELD & CAMPING MATERIALS SUPPLIES	FIELD & CAMPING MATERIALS SUPPLIES	FIELD & CAMPING MATERIALS SUPPLIES	EXPENDITURE	5	DETAIL
22020309	Expenditures	UNIFORMS & OTHER CLOTHING	UNIFORMS & OTHER CLOTHING	UNIFORMS & OTHER CLOTHING	EXPENDITURE	5	DETAIL
22020310	Expenditures	TEACHING AIDS/INSTRUCTION MATERIALS	TEACHING AIDS / INSTRUCTION MATERIALS	TEACHING AIDS / INSTRUCTION MATERIALS	EXPENDITURE	5	DETAIL
22020311	Expenditures	FOOD STUFF/CATERING MATERIALS SUPPLIES	FOOD STUFF / CATERING MATERIALS SUPPLIES	FOOD STUFF / CATERING MATERIALS SUPPLIES	EXPENDITURE	5	DETAIL
22020312	Expenditures	PRODUCTION, PUBLICATION AND CIRCULATION OF ANNUAL FINANCIAL STATEMENTS	PRODUCTION, PUBLICATION AND CIRCULATION OF ANNUAL FINANCIAL STATEMENTS	PRODUCTION, PUBLICATION AND CIRCULATION OF ANNUAL FINANCIAL STATEMENTS			
22020313	Expenditures	PRODUCTION OF REPORTS TO PUBLIC ACCOUNTS COMMITTEE (PAC)	PRODUCTION OF REPORTS TO PUBLIC ACCOUNTS COMMITTEE (PAC)	PRODUCTION OF REPORTS TO PUBLIC ACCOUNTS COMMITTEE (PAC)			
220204	Expenditures	MAINTENANCE SERVICES - GENERAL	MAINTENANCE SERVICES - GENERAL	MAINTENANCE SERVICES - GENERAL	EXPENDITURE	4	GENERAL
22020401	Expenditures	MAINTENANCE OF MOTOR VEHICLE/TRANSPORT EQUIPMENT	MAINTENANCE OF MOTOR VEHICLE/TRANSPORT EQUIPMENT	MAINTENANCE OF MOTOR VEHICLE/TRANSPORT EQUIPMENT	EXPENDITURE	5	DETAIL
22020402	Expenditures	MAINTENANCE OF OFFICE FURNITURE	MAINTENANCE OF OFFICE FURNITURE	MAINTENANCE OF OFFICE FURNITURE	EXPENDITURE	5	DETAIL
22020403	Expenditures	MAINTENANCE OF OFFICE BUILDING / RESIDENTIAL QTRS	MAINTENANCE OF OFFICE BUILDING / RESIDENTIAL QTRS	MAINTENANCE OF OFFICE BUILDING / RESIDENTIAL QTRS	EXPENDITURE	5	DETAIL
22020404	Expenditures	MAINTENANCE OF OFFICE /IT EQUIPMENTS	MAINTENANCE OF OFFICE / IT EQUIPMENTS	MAINTENANCE OF OFFICE / IT EQUIPMENTS	EXPENDITURE	5	DETAIL
22020405	Expenditures	MAINTENANCE OF PLANTS/GENERATORS	MAINTENANCE OF PLANTS/GENERATORS	MAINTENANCE OF PLANTS/GENERATORS	EXPENDITURE	5	DETAIL
22020406	Expenditures	OTHER MAINTENANCE SERVICES	OTHER MAINTENANCE SERVICES	OTHER MAINTENANCE SERVICES	EXPENDITURE	5	DETAIL
